table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,
"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2025",,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,
,,2020,2021,2022,2023,2024,2025
United States,"331,516,113","331,578,104","332,100,166","333,996,304","336,755,052","340,003,797","341,784,857"
".Autauga County, Alabama","58,805","58,914","59,207","59,755","60,502","61,476","61,920"
".Baldwin County, Alabama","231,778","233,252","239,450","246,703","254,193","261,652","267,761"
".Barbour County, Alabama","25,225","24,958","24,510","24,744","24,681","24,520","24,607"
".Bibb County, Alabama","22,285","22,181","22,346","21,976","21,881","22,225","22,262"
".Blount County, Alabama","59,125","59,099","59,036","59,450","59,771","60,173","60,156"
".Bullock County, Alabama","10,357","10,239","10,128","10,135","9,898","9,863","9,780"
".Butler County, Alabama","19,044","19,022","18,856","18,652","18,372","18,276","18,100"
".Calhoun County, Alabama","116,439","116,238","115,640","115,738","116,341","116,303","115,834"
".Chambers County, Alabama","34,696","34,581","34,420","34,199","34,363","34,309","34,253"
".Cherokee County, Alabama","24,981","24,978","25,056","25,318","25,650","26,088","26,413"
".Chilton County, Alabama","45,006","45,053","45,262","45,868","46,554","47,364","47,708"
".Choctaw County, Alabama","12,667","12,623","12,543","12,419","12,264","12,090","11,904"
".Clarke County, Alabama","23,086","22,982","22,732","22,541","22,336","22,127","22,014"
".Clay County, Alabama","14,240","14,216","14,164","14,206","14,145","14,212","14,207"
".Cleburne County, Alabama","15,052","15,062","15,161","15,356","15,645","15,838","15,970"
".Coffee County, Alabama","53,467","53,571","54,196","54,818","55,741","56,482","56,953"
".Colbert County, Alabama","57,231","57,306","57,651","58,048","58,459","59,073","59,474"
".Conecuh County, Alabama","11,597","11,554","11,316","11,224","11,153","11,045","10,899"
".Coosa County, Alabama","10,392","10,338","10,346","10,298","10,289","10,284","10,161"
".Covington County, Alabama","37,564","37,508","37,523","37,526","37,940","37,966","37,947"
".Crenshaw County, Alabama","13,204","13,174","13,060","13,086","13,156","13,139","13,175"
".Cullman County, Alabama","87,848","88,128","89,579","90,600","91,916","92,771","94,009"
".Dale County, Alabama","49,327","49,266","49,348","49,473","49,826","50,024","49,912"
".Dallas County, Alabama","38,465","38,176","37,486","36,757","36,271","35,584","35,140"
".DeKalb County, Alabama","71,620","71,662","71,878","72,064","72,633","73,581","74,085"
".Elmore County, Alabama","87,976","87,866","88,759","89,617","90,478","91,051","91,577"
".Escambia County, Alabama","36,767","36,685","36,629","36,632","36,635","36,673","36,665"
".Etowah County, Alabama","103,423","103,441","102,924","102,842","103,227","103,475","103,886"
".Fayette County, Alabama","16,326","16,331","16,125","16,044","15,966","15,921","15,872"
".Franklin County, Alabama","32,118","32,088","32,002","31,983","32,001","32,189","32,449"
".Geneva County, Alabama","26,658","26,698","26,630","26,782","27,045","27,331","27,554"
".Greene County, Alabama","7,732","7,701","7,585","7,425","7,317","7,136","7,067"
".Hale County, Alabama","14,785","14,768","14,704","14,601","14,942","15,146","15,194"
".Henry County, Alabama","17,144","17,172","17,419","17,644","17,901","18,234","18,394"
".Houston County, Alabama","107,204","107,306","107,470","108,170","108,726","109,707","110,318"
".Jackson County, Alabama","52,569","52,542","52,719","52,884","53,508","53,935","54,281"
".Jefferson County, Alabama","674,330","674,720","669,782","665,691","664,419","666,585","665,742"
".Lamar County, Alabama","13,966","13,946","13,714","13,610","13,622","13,553","13,587"
".Lauderdale County, Alabama","93,566","94,032","94,877","95,916","96,794","97,298","97,135"
".Lawrence County, Alabama","33,071","33,085","33,064","33,187","33,516","33,651","33,843"
".Lee County, Alabama","174,337","174,838","177,562","180,966","184,003","187,782","189,881"
".Limestone County, Alabama","103,563","104,193","107,268","110,922","114,815","119,051","122,928"
".Lowndes County, Alabama","10,316","10,281","9,945","9,799","9,708","9,517","9,359"
".Macon County, Alabama","19,531","19,464","18,914","18,538","18,365","18,275","18,132"
".Madison County, Alabama","388,158","390,515","396,748","404,070","413,411","423,071","433,516"
".Marengo County, Alabama","19,321","19,266","18,974","18,789","18,672","18,470","18,311"
".Marion County, Alabama","29,343","29,192","28,990","29,183","29,277","29,358","29,097"
".Marshall County, Alabama","97,605","97,696","98,262","99,681","101,307","102,860","103,537"
".Mobile County, Alabama","414,812","414,414","413,299","411,378","411,693","412,193","411,658"
".Monroe County, Alabama","19,772","19,707","19,532","19,407","19,267","19,089","18,965"
".Montgomery County, Alabama","228,953","228,345","226,887","226,551","225,721","225,889","225,891"
".Morgan County, Alabama","123,439","123,321","123,246","124,190","125,402","126,248","126,483"
".Perry County, Alabama","8,512","8,455","8,310","7,894","7,749","7,626","7,425"
".Pickens County, Alabama","19,127","18,956","18,607","18,716","18,678","18,469","18,221"
".Pike County, Alabama","33,003","32,906","32,761","32,973","33,192","33,199","33,688"
